Bill No,Date,Customer,Mobile,Total Amount,Received,Balance,Payment Mode
166793,19-12-2025,Customer 843801,9203589411,19154.0,9577.0,9577.0,
166798,19-12-2025,Customer 829053,8893352752,9928.0,9928.0,0.0,
166834,08-12-2025,Customer 526650,8812869839,18489.0,9244.0,9245.0,
166838,14-12-2025,Customer 992399,6487012308,11526.0,11526.0,0.0,
166861,04-12-2025,Customer 972417,9979430123,12823.0,6411.0,6412.0,
166875,17-12-2025,Customer 364484,9470645942,16526.0,16526.0,0.0,
166887,19-12-2025,Customer 574517,6162187196,9688.0,4844.0,4844.0,
166889,03-12-2025,Customer 792588,9919951522,10269.0,5134.0,5135.0,
166992,07-12-2025,Customer 254634,6402847609,13073.0,13073.0,0.0,
167005,16-12-2025,Customer 353631,8528031467,15562.0,7781.0,7781.0,
167030,11-12-2025,Customer 553650,6550054728,8405.0,4202.0,4203.0,
167035,30-12-2025,Customer 611730,7641614864,7538.0,7538.0,0.0,
167047,19-12-2025,Customer 104524,8814816118,9117.0,4558.0,4559.0,
167063,23-12-2025,Customer 703880,9935650496,995.0,497.0,498.0,
167112,03-12-2025,Customer 799799,6293926027,17581.0,8790.0,8791.0,
167136,27-12-2025,Customer 705862,8044249324,1702.0,851.0,851.0,
167215,13-12-2025,Customer 112370,6569485327,12597.0,6298.0,6299.0,
167222,13-12-2025,Customer 880232,8268810643,5020.0,2510.0,2510.0,
167302,08-12-2025,Customer 764779,9448363002,16197.0,8098.0,8099.0,
167337,09-12-2025,Customer 174246,6907242810,19287.0,19287.0,0.0,
167346,09-12-2025,Customer 726627,8374325166,7207.0,7207.0,0.0,
167415,21-12-2025,Customer 331340,9080418927,3170.0,1585.0,1585.0,
167423,29-12-2025,Customer 611879,6354183440,3563.0,1781.0,1782.0,
167448,28-12-2025,Customer 363301,9250443845,10087.0,5043.0,5044.0,
167480,04-12-2025,Customer 551600,6175528339,11029.0,11029.0,0.0,
167482,02-12-2025,Customer 323261,6260372928,1225.0,612.0,613.0,
167487,30-12-2025,Customer 106738,8050020737,7986.0,3993.0,3993.0,
167573,12-12-2025,Customer 558646,9838345953,12073.0,6036.0,6037.0,
167575,28-12-2025,Customer 628494,8875753402,15625.0,15625.0,0.0,
167621,24-12-2025,Customer 294594,7066807091,15290.0,15290.0,0.0,
167669,14-12-2025,Customer 666930,8903743018,19318.0,9659.0,9659.0,
167693,08-12-2025,Customer 449922,6472808041,14305.0,7152.0,7153.0,
167700,10-12-2025,Customer 788638,8581748139,12800.0,6400.0,6400.0,
167701,02-12-2025,Customer 581613,9695292398,1133.0,566.0,567.0,
167737,06-12-2025,Customer 625236,6483405277,8943.0,4471.0,4472.0,
167764,30-12-2025,Customer 873694,7096602420,16594.0,8297.0,8297.0,
167773,07-12-2025,Customer 357106,6007268896,16019.0,16019.0,0.0,
167780,28-12-2025,Customer 431579,9601189235,12523.0,6261.0,6262.0,
167782,26-12-2025,Customer 305168,9364750837,17623.0,17623.0,0.0,
167816,05-12-2025,Customer 822617,7392427933,4510.0,2255.0,2255.0,
167843,30-12-2025,Customer 312252,9678431252,4577.0,2288.0,2289.0,
167846,21-12-2025,Customer 105733,8319035793,18301.0,9150.0,9151.0,
167855,13-12-2025,Customer 193508,9436828465,12852.0,12852.0,0.0,
167903,05-12-2025,Customer 971804,8500653663,5248.0,5248.0,0.0,
167920,05-12-2025,Customer 488460,8686584840,6380.0,3190.0,3190.0,
167931,18-12-2025,Customer 638013,9085286505,9288.0,4644.0,4644.0,
167932,18-12-2025,Customer 242023,7180933991,1359.0,1359.0,0.0,
168051,17-12-2025,Customer 421225,7042528020,3815.0,1907.0,1908.0,
168073,16-12-2025,Customer 415961,7725986477,1566.0,783.0,783.0,
168080,19-12-2025,Customer 750956,9358553439,17131.0,8565.0,8566.0,
168099,23-12-2025,Customer 436011,6426275129,7297.0,7297.0,0.0,
168118,19-12-2025,Customer 466373,9523925099,3403.0,3403.0,0.0,
168124,31-12-2025,Customer 297005,9101970127,17107.0,17107.0,0.0,
168125,31-12-2025,Customer 363590,8887796728,10096.0,5048.0,5048.0,
168128,14-12-2025,Customer 471727,7914467013,1466.0,1466.0,0.0,
168136,27-12-2025,Customer 547844,9161703658,2637.0,1318.0,1319.0,
168156,26-12-2025,Customer 556776,8677716453,4785.0,2392.0,2393.0,
168198,22-12-2025,Customer 773220,8789741196,13814.0,6907.0,6907.0,
168215,10-12-2025,Customer 131201,9385403999,17125.0,8562.0,8563.0,
168260,05-12-2025,Customer 487041,9879195335,5106.0,5106.0,0.0,
168299,27-12-2025,Customer 731882,7710476556,2235.0,1117.0,1118.0,
168304,20-12-2025,Customer 439045,7699331826,8483.0,4241.0,4242.0,
168317,14-12-2025,Customer 763594,7276536059,5357.0,5357.0,0.0,
168320,05-12-2025,Customer 199794,6295741482,18384.0,18384.0,0.0,
168322,12-12-2025,Customer 283614,8477056902,19806.0,19806.0,0.0,
168336,07-12-2025,Customer 923192,8411211730,10668.0,5334.0,5334.0,
168359,11-12-2025,Customer 176095,6741132504,13646.0,6823.0,6823.0,
168406,25-12-2025,Customer 212349,8599115415,5936.0,5936.0,0.0,
168437,26-12-2025,Customer 224748,7847500302,7279.0,7279.0,0.0,
168456,19-12-2025,Customer 272242,6731679794,7265.0,7265.0,0.0,
168542,22-12-2025,Customer 218260,8674386332,13439.0,13439.0,0.0,
168593,27-12-2025,Customer 903209,6389574172,3448.0,3448.0,0.0,
168653,08-12-2025,Customer 422878,7267797254,2078.0,2078.0,0.0,
168658,29-12-2025,Customer 154970,8730066978,8471.0,4235.0,4236.0,
168698,11-12-2025,Customer 952389,9316143662,15020.0,7510.0,7510.0,
168769,18-12-2025,Customer 690451,6231369959,9041.0,4520.0,4521.0,
168811,26-12-2025,Customer 935069,8324031864,16647.0,16647.0,0.0,
168822,04-12-2025,Customer 898949,8747419380,18446.0,9223.0,9223.0,
168854,31-12-2025,Customer 262192,7336190311,7561.0,3780.0,3781.0,
168895,22-12-2025,Customer 420003,6633331176,6434.0,3217.0,3217.0,
168957,16-12-2025,Customer 902889,6218572815,13832.0,6916.0,6916.0,
168968,03-12-2025,Customer 327455,6024589700,14975.0,14975.0,0.0,
168995,07-12-2025,Customer 878579,8270022737,10486.0,5243.0,5243.0,
168997,31-12-2025,Customer 555538,8695151127,5367.0,2683.0,2684.0,
169002,24-12-2025,Customer 689113,6840279713,14670.0,7335.0,7335.0,
169007,07-12-2025,Customer 366387,8740994312,2022.0,2022.0,0.0,
169011,15-12-2025,Customer 895593,8093707217,1419.0,709.0,710.0,
169035,12-12-2025,Customer 529817,6496252234,16546.0,8273.0,8273.0,
169048,25-12-2025,Customer 879758,7460878872,18002.0,9001.0,9001.0,
169057,19-12-2025,Customer 131837,8783429806,10094.0,5047.0,5047.0,
169068,08-12-2025,Customer 607472,7382057529,8527.0,4263.0,4264.0,
169073,15-12-2025,Customer 545705,8939526886,14421.0,7210.0,7211.0,
169103,03-12-2025,Customer 249036,8115102485,12704.0,6352.0,6352.0,
169106,17-12-2025,Customer 627661,8138833607,4342.0,2171.0,2171.0,
169127,13-12-2025,Customer 242729,6162492744,13630.0,13630.0,0.0,
169133,31-12-2025,Customer 916295,7362781650,12317.0,12317.0,0.0,
169135,13-12-2025,Customer 835218,9382113394,17461.0,17461.0,0.0,
169176,07-12-2025,Customer 427778,6084587563,4801.0,2400.0,2401.0,
169178,14-12-2025,Customer 656686,8179467291,3904.0,1952.0,1952.0,
169187,16-12-2025,Customer 230032,9967233584,3752.0,1876.0,1876.0,
169191,13-12-2025,Customer 140376,6415564392,2074.0,1037.0,1037.0,
169242,20-12-2025,Customer 506572,6074686554,7019.0,7019.0,0.0,
169284,30-12-2025,Customer 860486,9502820202,660.0,330.0,330.0,
169285,11-12-2025,Customer 396879,7198433302,14388.0,7194.0,7194.0,
169300,23-12-2025,Customer 865533,7249331744,3382.0,1691.0,1691.0,
169301,17-12-2025,Customer 186029,8172608244,19694.0,9847.0,9847.0,
169311,22-12-2025,Customer 715536,7859251077,11987.0,5993.0,5994.0,
169324,28-12-2025,Customer 565538,7536912628,14130.0,14130.0,0.0,
169337,23-12-2025,Customer 208754,6249845394,1637.0,1637.0,0.0,
169344,21-12-2025,Customer 942984,9685822184,8792.0,8792.0,0.0,
169371,05-12-2025,Customer 286029,8998747232,11581.0,5790.0,5791.0,
169374,04-12-2025,Customer 188324,9487340846,13404.0,6702.0,6702.0,
169378,18-12-2025,Customer 658210,7048159820,11199.0,11199.0,0.0,
169386,08-12-2025,Customer 619213,9788803033,14791.0,7395.0,7396.0,
169396,06-12-2025,Customer 723263,8199957498,3815.0,3815.0,0.0,
169398,20-12-2025,Customer 452634,6572097373,18950.0,9475.0,9475.0,
169405,11-12-2025,Customer 606764,9215997921,16635.0,8317.0,8318.0,
169454,21-12-2025,Customer 926219,8626095934,12119.0,6059.0,6060.0,
169459,21-12-2025,Customer 879029,8965816763,1330.0,665.0,665.0,
169490,29-12-2025,Customer 998666,7892850980,19864.0,9932.0,9932.0,
169624,29-12-2025,Customer 828345,6301212812,4650.0,2325.0,2325.0,
169628,08-12-2025,Customer 301100,7992826863,2921.0,1460.0,1461.0,
169648,09-12-2025,Customer 768287,7128572182,13738.0,6869.0,6869.0,
169655,03-12-2025,Customer 670392,7829330118,2998.0,1499.0,1499.0,
169660,22-12-2025,Customer 987301,8379925660,990.0,495.0,495.0,
169667,03-12-2025,Customer 432479,9302086451,8996.0,4498.0,4498.0,
169705,31-12-2025,Customer 116055,8417703968,16074.0,8037.0,8037.0,
169785,06-12-2025,Customer 168548,8975779487,6739.0,3369.0,3370.0,
169798,26-12-2025,Customer 833853,7441443421,5588.0,2794.0,2794.0,
169899,22-12-2025,Customer 460123,9971692657,17498.0,8749.0,8749.0,
169904,11-12-2025,Customer 861373,6114312727,11794.0,5897.0,5897.0,
170015,30-12-2025,Customer 850651,9269057600,1580.0,1580.0,0.0,
170033,06-12-2025,Customer 563203,8588411614,10114.0,10114.0,0.0,
170086,02-12-2025,Customer 405805,9055850719,16518.0,8259.0,8259.0,
170154,14-12-2025,Customer 646868,6311580682,18435.0,18435.0,0.0,
170190,29-12-2025,Customer 934056,7781311739,1972.0,986.0,986.0,
170214,22-12-2025,Customer 412023,6459045042,3533.0,3533.0,0.0,
170232,06-12-2025,Customer 958545,8803861065,13721.0,6860.0,6861.0,
170241,15-12-2025,Customer 184838,7829277597,1795.0,897.0,898.0,
170263,06-12-2025,Customer 381231,9471391544,12939.0,12939.0,0.0,
170264,19-12-2025,Customer 855462,8895100481,2338.0,1169.0,1169.0,
170287,11-12-2025,Customer 280051,6864091730,7210.0,7210.0,0.0,
170302,27-12-2025,Customer 652961,9941197842,13491.0,6745.0,6746.0,
170306,16-12-2025,Customer 385499,9759288601,4440.0,2220.0,2220.0,
170321,15-12-2025,Customer 496148,7976724514,984.0,492.0,492.0,
170377,19-12-2025,Customer 490738,9117600722,12379.0,6189.0,6190.0,
170390,23-12-2025,Customer 527652,7288485706,4128.0,2064.0,2064.0,
170414,23-12-2025,Customer 128874,8755658009,2398.0,1199.0,1199.0,
170415,16-12-2025,Customer 535930,9156727910,4514.0,2257.0,2257.0,
170425,28-12-2025,Customer 692546,8822059515,1812.0,906.0,906.0,
170434,24-12-2025,Customer 899902,7314667798,5446.0,2723.0,2723.0,
170435,21-12-2025,Customer 625862,6815664921,2843.0,1421.0,1422.0,
170458,12-12-2025,Customer 224228,6457555820,10263.0,10263.0,0.0,
170469,28-12-2025,Customer 886781,9254694497,15788.0,15788.0,0.0,
170483,28-12-2025,Customer 647919,6653610477,8540.0,4270.0,4270.0,
170526,20-12-2025,Customer 217596,9221182196,14118.0,14118.0,0.0,
170550,27-12-2025,Customer 121222,7166139149,9883.0,4941.0,4942.0,
170558,02-12-2025,Customer 874311,8688819185,13174.0,13174.0,0.0,
170584,14-12-2025,Customer 659692,6643766027,11879.0,5939.0,5940.0,
170593,23-12-2025,Customer 908300,9294012182,10403.0,5201.0,5202.0,
170600,10-12-2025,Customer 239568,6520526554,17181.0,8590.0,8591.0,
170615,03-12-2025,Customer 145805,9808291796,8408.0,8408.0,0.0,
170644,02-12-2025,Customer 399296,6937919021,10148.0,5074.0,5074.0,
170652,26-12-2025,Customer 176597,8986235928,7303.0,7303.0,0.0,
170678,13-12-2025,Customer 192716,6307495109,6585.0,6585.0,0.0,
170687,07-12-2025,Customer 460737,6025962265,17395.0,17395.0,0.0,
170697,26-12-2025,Customer 865365,7551736621,5002.0,2501.0,2501.0,
170726,02-12-2025,Customer 388393,6165250032,8682.0,8682.0,0.0,
170744,10-12-2025,Customer 490569,8852542314,1924.0,962.0,962.0,
170782,19-12-2025,Customer 140246,9885538872,8164.0,4082.0,4082.0,
170819,15-12-2025,Customer 102158,9349264891,5815.0,2907.0,2908.0,
170886,29-12-2025,Customer 647490,7934959159,14116.0,7058.0,7058.0,
170887,29-12-2025,Customer 397726,6597611740,12993.0,6496.0,6497.0,
170925,26-12-2025,Customer 209192,8222917583,9422.0,4711.0,4711.0,
170938,05-12-2025,Customer 993016,6341761539,16358.0,8179.0,8179.0,
170954,30-12-2025,Customer 296336,9593217574,8252.0,4126.0,4126.0,
170972,05-12-2025,Customer 970530,9034035441,11540.0,5770.0,5770.0,
170978,16-12-2025,Customer 839839,9567987901,13885.0,6942.0,6943.0,
171007,15-12-2025,Customer 366404,7920588453,8462.0,4231.0,4231.0,
171018,23-12-2025,Customer 216389,6825489796,10858.0,10858.0,0.0,
171034,30-12-2025,Customer 954923,7443984098,18632.0,9316.0,9316.0,
171079,26-12-2025,Customer 848237,9646272811,14580.0,14580.0,0.0,
171149,18-12-2025,Customer 760942,9196053396,2053.0,2053.0,0.0,
171158,16-12-2025,Customer 744811,6539399056,15235.0,15235.0,0.0,
171192,08-12-2025,Customer 592909,7135331599,6285.0,6285.0,0.0,
171195,21-12-2025,Customer 446654,9054087850,10509.0,10509.0,0.0,
171278,18-12-2025,Customer 180251,8533805558,8351.0,4175.0,4176.0,
171287,08-12-2025,Customer 948731,8754038350,17702.0,17702.0,0.0,
171289,12-12-2025,Customer 357599,6655193871,7723.0,7723.0,0.0,
171291,18-12-2025,Customer 409398,7443451150,5754.0,2877.0,2877.0,
171319,07-12-2025,Customer 374787,7961925779,18920.0,9460.0,9460.0,
171382,14-12-2025,Customer 853950,8401016714,1650.0,825.0,825.0,
171403,09-12-2025,Customer 914982,9741946200,11028.0,11028.0,0.0,
171420,27-12-2025,Customer 366532,9377773587,2754.0,1377.0,1377.0,
171422,10-12-2025,Customer 553419,7473098866,17652.0,17652.0,0.0,
171424,12-12-2025,Customer 127838,8842007959,7912.0,3956.0,3956.0,
171443,31-12-2025,Customer 569209,7511767144,10694.0,5347.0,5347.0,
171454,30-12-2025,Customer 897439,7644743856,15464.0,7732.0,7732.0,
171515,14-12-2025,Customer 327725,7693244958,8208.0,4104.0,4104.0,
171522,19-12-2025,Customer 624423,7787259691,4305.0,4305.0,0.0,
171534,14-12-2025,Customer 145708,6670053604,6372.0,6372.0,0.0,
171536,14-12-2025,Customer 271838,7216162599,19652.0,9826.0,9826.0,
171547,22-12-2025,Customer 116644,6180505905,1809.0,1809.0,0.0,
171549,28-12-2025,Customer 247674,9273270802,13137.0,6568.0,6569.0,
171559,11-12-2025,Customer 992254,6673216222,18600.0,9300.0,9300.0,
171562,18-12-2025,Customer 587259,7221854724,16169.0,16169.0,0.0,
171568,29-12-2025,Customer 654972,9333320782,6652.0,6652.0,0.0,
171578,05-12-2025,Customer 683541,6762498987,8835.0,4417.0,4418.0,
171595,04-12-2025,Customer 726067,7710176658,14439.0,14439.0,0.0,
171597,06-12-2025,Customer 317089,7489112642,874.0,874.0,0.0,
171619,05-12-2025,Customer 667093,9157706477,778.0,389.0,389.0,
171631,02-12-2025,Customer 560821,8412745917,12382.0,12382.0,0.0,
171681,09-12-2025,Customer 886354,7436934634,4566.0,4566.0,0.0,
171687,29-12-2025,Customer 365228,9766081142,1428.0,714.0,714.0,
171712,16-12-2025,Customer 901732,9855809441,3261.0,1630.0,1631.0,
171740,28-12-2025,Customer 293430,9884864576,14317.0,7158.0,7159.0,
171768,22-12-2025,Customer 571100,9501791478,14524.0,7262.0,7262.0,
171808,06-12-2025,Customer 884140,8266285541,2626.0,1313.0,1313.0,
171816,16-12-2025,Customer 164931,8805384670,11622.0,5811.0,5811.0,
171867,03-12-2025,Customer 145990,7682881254,1429.0,714.0,715.0,
171874,23-12-2025,Customer 201106,8210139281,17687.0,8843.0,8844.0,
171945,11-12-2025,Customer 804392,8527247857,6161.0,3080.0,3081.0,
171950,14-12-2025,Customer 778626,9501323976,656.0,656.0,0.0,
172001,22-12-2025,Customer 281913,8389948107,7036.0,3518.0,3518.0,
172085,15-12-2025,Customer 717323,8479631442,7491.0,7491.0,0.0,
172113,23-12-2025,Customer 654385,8449123523,1875.0,1875.0,0.0,
172116,31-12-2025,Customer 482543,7578894083,16305.0,16305.0,0.0,
172143,30-12-2025,Customer 808487,7064490190,3835.0,3835.0,0.0,
172159,17-12-2025,Customer 454603,7804535226,11309.0,5654.0,5655.0,
172172,16-12-2025,Customer 861308,7043519322,10735.0,5367.0,5368.0,
172185,06-12-2025,Customer 800358,8202365203,14957.0,7478.0,7479.0,
172191,21-12-2025,Customer 717345,6384857687,15975.0,15975.0,0.0,
172224,20-12-2025,Customer 998856,6147442744,11835.0,5917.0,5918.0,
172239,18-12-2025,Customer 905886,9718424288,14289.0,14289.0,0.0,
172240,31-12-2025,Customer 893099,8172588603,7246.0,7246.0,0.0,
172301,18-12-2025,Customer 178497,7591632990,8942.0,4471.0,4471.0,
172310,07-12-2025,Customer 180104,7741067242,12849.0,6424.0,6425.0,
172319,14-12-2025,Customer 890671,8766387203,3011.0,1505.0,1506.0,
172322,27-12-2025,Customer 314743,8035375548,3998.0,1999.0,1999.0,
172326,08-12-2025,Customer 212911,9659441589,7378.0,3689.0,3689.0,
172331,06-12-2025,Customer 542402,8697014202,5104.0,2552.0,2552.0,
172345,02-12-2025,Customer 193857,6056075808,11471.0,5735.0,5736.0,
172364,26-12-2025,Customer 154682,6956118696,687.0,343.0,344.0,
172366,02-12-2025,Customer 369056,7861413275,17722.0,8861.0,8861.0,
172406,04-12-2025,Customer 216247,9034499137,11420.0,5710.0,5710.0,
172494,12-12-2025,Customer 562539,6944233843,14160.0,7080.0,7080.0,
172504,19-12-2025,Customer 449184,7110463207,11804.0,5902.0,5902.0,
172521,27-12-2025,Customer 280678,9492717908,7007.0,3503.0,3504.0,
172532,07-12-2025,Customer 294876,6412214388,2969.0,1484.0,1485.0,
172571,03-12-2025,Customer 349402,7772113875,12611.0,12611.0,0.0,
172580,29-12-2025,Customer 390819,6182459565,10362.0,5181.0,5181.0,
172689,22-12-2025,Customer 536097,7462421001,10842.0,5421.0,5421.0,
172708,23-12-2025,Customer 430950,8267811716,4555.0,2277.0,2278.0,
172725,29-12-2025,Customer 348766,9253933556,16294.0,8147.0,8147.0,
172745,09-12-2025,Customer 172443,8478444553,14631.0,14631.0,0.0,
172767,03-12-2025,Customer 661550,7807988693,2864.0,1432.0,1432.0,
172791,05-12-2025,Customer 245032,8373973577,9677.0,4838.0,4839.0,
172812,11-12-2025,Customer 563266,6067980017,2122.0,1061.0,1061.0,
172842,26-12-2025,Customer 339969,7736406528,13767.0,13767.0,0.0,
172857,27-12-2025,Customer 834695,7698899751,2099.0,2099.0,0.0,
172909,13-12-2025,Customer 217678,6519560455,2869.0,2869.0,0.0,
172926,19-12-2025,Customer 565573,8815459049,14577.0,7288.0,7289.0,
172944,17-12-2025,Customer 830786,9369044434,7142.0,3571.0,3571.0,
172957,10-12-2025,Customer 335179,9163075849,4335.0,2167.0,2168.0,
172966,04-12-2025,Customer 862401,7641277065,10101.0,10101.0,0.0,
173000,22-12-2025,Customer 185397,8131537508,5473.0,5473.0,0.0,
173010,31-12-2025,Customer 607718,7528411965,10883.0,5441.0,5442.0,
173061,25-12-2025,Customer 779152,8484435312,19728.0,19728.0,0.0,
173100,28-12-2025,Customer 807273,9440607933,15731.0,7865.0,7866.0,
173130,16-12-2025,Customer 421150,8707925812,12626.0,6313.0,6313.0,
173132,12-12-2025,Customer 484799,6720934092,5441.0,5441.0,0.0,
173160,11-12-2025,Customer 375957,6409704674,9850.0,9850.0,0.0,
173166,21-12-2025,Customer 900368,8095606158,13983.0,13983.0,0.0,
173260,06-12-2025,Customer 182238,7023517705,8734.0,4367.0,4367.0,
173266,12-12-2025,Customer 664284,7268214896,9747.0,9747.0,0.0,
173318,08-12-2025,Customer 173948,6543050795,15346.0,7673.0,7673.0,
173320,10-12-2025,Customer 845008,8901943743,5840.0,2920.0,2920.0,
173411,09-12-2025,Customer 539878,8640988623,5160.0,2580.0,2580.0,
173414,25-12-2025,Customer 870292,8362169354,5982.0,5982.0,0.0,
173474,03-12-2025,Customer 983613,7633262118,12784.0,6392.0,6392.0,
173489,21-12-2025,Customer 866011,8001656276,10718.0,5359.0,5359.0,
173541,12-12-2025,Customer 826779,7485460984,12150.0,6075.0,6075.0,
173610,21-12-2025,Customer 420899,6919539625,17623.0,8811.0,8812.0,
173616,09-12-2025,Customer 679233,8711214274,4111.0,2055.0,2056.0,
173632,11-12-2025,Customer 498007,8997000191,4688.0,2344.0,2344.0,
173638,20-12-2025,Customer 546692,6704436967,5045.0,5045.0,0.0,
173649,09-12-2025,Customer 626840,9697029308,7970.0,3985.0,3985.0,
173680,08-12-2025,Customer 742059,7375242278,18576.0,18576.0,0.0,
173743,22-12-2025,Customer 215277,8194844648,2935.0,1467.0,1468.0,
173791,04-12-2025,Customer 561697,7222097095,17331.0,8665.0,8666.0,
173801,05-12-2025,Customer 625862,9807913342,10099.0,5049.0,5050.0,
173883,15-12-2025,Customer 693584,8215222793,1028.0,514.0,514.0,
173887,21-12-2025,Customer 891127,7463089511,8784.0,8784.0,0.0,
173921,24-12-2025,Customer 951510,9676639242,9671.0,4835.0,4836.0,
173927,08-12-2025,Customer 928187,9912059966,3014.0,3014.0,0.0,
173937,22-12-2025,Customer 115862,7123861911,4795.0,2397.0,2398.0,
173953,29-12-2025,Customer 901591,8242914144,10399.0,5199.0,5200.0,
173963,05-12-2025,Customer 321646,9796170903,11852.0,5926.0,5926.0,
174049,18-12-2025,Customer 596298,6580839877,3645.0,3645.0,0.0,
174053,13-12-2025,Customer 313995,6281637743,10066.0,10066.0,0.0,
174068,28-12-2025,Customer 542588,8208952240,9170.0,4585.0,4585.0,
174079,09-12-2025,Customer 284541,7026717095,12983.0,6491.0,6492.0,
174095,18-12-2025,Customer 624954,9791831292,11181.0,11181.0,0.0,
174137,13-12-2025,Customer 450872,7197515185,16326.0,8163.0,8163.0,
174225,30-12-2025,Customer 489340,8018361975,14431.0,7215.0,7216.0,
174244,03-12-2025,Customer 629287,6013407092,2587.0,2587.0,0.0,
174275,05-12-2025,Customer 272974,6281954720,13052.0,6526.0,6526.0,
174287,19-12-2025,Customer 520788,7951567868,6116.0,3058.0,3058.0,
174310,04-12-2025,Customer 560639,7167217696,16861.0,16861.0,0.0,
174312,24-12-2025,Customer 380443,9540555008,18803.0,18803.0,0.0,
174317,19-12-2025,Customer 614325,9659903109,9577.0,4788.0,4789.0,
174386,08-12-2025,Customer 490567,6556515717,19119.0,19119.0,0.0,
174443,14-12-2025,Customer 147818,6598700726,5357.0,2678.0,2679.0,
174470,31-12-2025,Customer 708994,7991117921,13573.0,6786.0,6787.0,
174471,10-12-2025,Customer 190717,6603490345,11421.0,5710.0,5711.0,
174492,02-12-2025,Customer 270093,8164065231,2826.0,2826.0,0.0,
174512,26-12-2025,Customer 642588,6239974481,11051.0,5525.0,5526.0,
174535,08-12-2025,Customer 799077,6039400120,17832.0,8916.0,8916.0,
174554,10-12-2025,Customer 851176,7642299823,18449.0,9224.0,9225.0,
174606,30-12-2025,Customer 779804,6901575604,19092.0,19092.0,0.0,
174624,27-12-2025,Customer 461472,8532168257,16514.0,16514.0,0.0,
174640,29-12-2025,Customer 226729,9929141681,12707.0,6353.0,6354.0,
174641,23-12-2025,Customer 853633,8017757863,14906.0,14906.0,0.0,
174650,24-12-2025,Customer 318705,9943168213,13432.0,6716.0,6716.0,
174654,17-12-2025,Customer 676651,7678870533,8439.0,4219.0,4220.0,
174714,22-12-2025,Customer 897753,8410665072,9213.0,4606.0,4607.0,
174762,23-12-2025,Customer 393033,9546810873,14115.0,7057.0,7058.0,
174766,18-12-2025,Customer 111878,8740848644,10116.0,5058.0,5058.0,
174845,14-12-2025,Customer 338588,7951045774,6929.0,3464.0,3465.0,
174860,07-12-2025,Customer 472656,9872428706,6822.0,6822.0,0.0,
174869,22-12-2025,Customer 303370,7266078564,2282.0,1141.0,1141.0,
174882,05-12-2025,Customer 231934,8740903149,18701.0,9350.0,9351.0,
